"","FIPS","State","County","BlackVetsPct","CivPop18ONum","CivPopVets18to64Num","CLFVets18to64Num","CollegeDegreeVetsPct","FemaleVetsPct","GulfWar1VetsPct","GulfWar2VetsPct","HighSchOnlyVetsPct","HispanicVetsPct","KoreanWarVetsPct","LessThanHSVetsPct","LFPVetsRate","MaleVetsPct","MedianNonVetsInc","MedianVetsInc","NonVetsDisabilty","NonVetsPoor","OtherRaceVetsPct","PctNonVetsDisabilty","PctNonVetsPoor","PctVetsDisabilty","PctVetsPoor","SomeCollegeVetsPct","UEVetsRate","Vets18ONum","Vets18OPct","VetsDisabilty","VetsPoor","VietnamEraVetsPct","WhiteNonHispVetsPct","WW2VetsPct"
"15",5027,"AR","Columbia",22.96918768,18108,530,358,16.52661064,2.240896359,18.20728291,20.26143791,42.01680672,0,8.216619981,13.81886088,67.54716981,97.75910364,21290,44000,1781,2977,0.373482726,14.53877551,24.30204082,40.75471698,1.320754717,27.63772176,0,1071,5.914512923,216,7,39.77591036,76.6573296,0.280112045
"16",5029,"AR","Conway",8.063450099,15963,679,532,16.50099404,15.79643093,21.48050231,12.69001983,45.26176276,0.859220093,6.411103767,5.102717031,78.35051546,84.20356907,24665,33807,2541,2153,0.066093853,22.47479215,19.04298603,22.23858616,0.736377025,33.13452618,8.834586466,1513,9.478168264,151,5,44.34897555,91.01123596,1.982815598
"17",5031,"AR","Craighead",9.374387135,82163,2550,1795,25.48596112,5.000980584,18.33692881,23.71053148,36.28509719,1.078642871,11.76701314,5.144315728,70.39215686,94.99901942,28277,39657,9526,11050,4.353794862,15.33409526,17.78729295,32.82352941,11.76470588,33.08462596,5.069637883,5099,6.205956452,837,300,33.49676407,85.99725436,1.019807806
"18",5033,"AR","Crawford",1.056834195,45440,2227,1393,21.59283466,5.988727102,25.08219822,25.0117426,34.8583878,2.254579615,4.603100047,8.52093924,62.55051639,94.0112729,26170,34693,5536,4990,6.787224049,16.81448184,15.15611712,33.9342046,6.309148265,35.0278383,1.938262742,4258,9.370598592,753,140,38.53922029,90.7703147,0.70455613
"19",5035,"AR","Crittenden",39.20664207,35149,1227,943,14.5295203,7.472324723,19.83394834,16.74354244,36.34686347,0.784132841,3.6900369,7.33394834,76.85411573,92.52767528,26545,42577,3936,4635,3.459409594,14.55836662,17.14380826,21.7603912,8.964955175,41.7896679,1.908801697,2168,6.16802754,267,110,35.19372694,56.7804428,0.322878229
"20",5037,"AR","Cross",18.45454545,12928,639,510,23.36363636,13.27272727,25.81818182,17.27272727,30.81818182,1.090909091,5.181818182,12.54545455,79.81220657,86.72727273,26021,39917,1423,1376,18.18181818,15.67698579,15.15919357,17.2143975,15.33646322,33.27272727,0,1100,8.508663366,110,98,29.54545455,62.27272727,0
"21",5039,"AR","Dallas",26.18384401,5210,211,202,12.25626741,6.406685237,35.93314763,20.05571031,33.14763231,1.671309192,4.178272981,2.506963788,95.73459716,93.59331476,24202,30398,828,460,0,25.18248175,13.99026764,9.478672986,2.843601896,52.08913649,13.86138614,359,6.89059501,20,6,29.24791086,72.1448468,0.835654596
"22",5041,"AR","Desha",36.54916512,8555,302,205,12.43042672,5.936920223,15.58441558,31.16883117,58.6270872,0.742115028,5.194805195,7.050092764,67.8807947,94.06307978,21442,37500,1108,1674,2.226345084,18.26875515,27.60098928,12.91390728,5.629139073,21.89239332,0,539,6.300409118,39,17,35.62152134,60.48237477,3.525046382
"23",5043,"AR","Drew",28.71652816,13668,481,288,19.11357341,8.033240997,14.58910434,17.45152355,34.81071099,0,8.771929825,13.4810711,59.87525988,91.966759,26060,23183,1340,2012,2.123730379,14.13651229,21.22586771,39.08523909,10.3950104,32.59464451,0,1083,7.923617208,188,50,45.52169898,69.15974146,0.923361034
"24",5045,"AR","Faulkner",7.387817779,94189,3165,2392,29.19190171,10.90257635,23.20423136,25.917079,30.42048797,1.9109367,5.681624296,6.125627271,75.57661927,89.09742365,30174,40839,9061,11273,2.337485071,12.69919132,15.7993581,28.57142857,9.142857143,34.26198304,1.714046823,5861,6.222594995,900,288,34.22624126,88.36376045,1.433202525
"25",5047,"AR","Franklin",0.556586271,13166,958,741,10.69882498,8.658008658,18.05813234,30.6122449,37.29128015,0.927643785,2.473716759,5.813234385,77.34864301,91.34199134,24419,33844,1984,1909,1.731601732,22.5019848,21.65135534,36.84759916,20.25052192,46.19666048,4.453441296,1617,12.28163451,353,194,29.80828695,97.711812,0.742115028
"26",5049,"AR","Fulton",0.18115942,9507,581,297,10.41666667,5.887681159,14.22101449,11.86594203,47.37318841,0,6.612318841,8.786231884,51.11876076,94.11231884,20808,19099,1314,1141,6.25,22.63176025,19.65208405,43.0292599,15.31841652,33.42391304,47.47474747,1104,11.61249606,250,89,43.75,93.56884058,0.996376812
"27",5051,"AR","Garland",8.196533119,79550,4106,2460,22.90165078,7.151876937,21.15715762,19.03340604,28.12136712,3.593158076,6.348295259,5.789351314,59.91232343,92.84812306,26159,37661,9301,8852,4.477097922,18.11330308,17.23889462,38.39960966,6.51378385,43.18763078,9.146341463,8711,10.95034569,1574,267,38.74411663,84.99598209,2.456663988
"28",5053,"AR","Grant",7.678244973,13836,553,383,7.769652651,1.279707495,29.34186472,26.78244973,33.27239488,1.188299817,2.376599634,2.468007313,69.25858951,98.7202925,29830,46146,1645,1617,5.027422304,16.41225182,16.13289434,33.45388788,6.690777577,56.48994516,1.305483029,1094,7.906909511,185,37,41.04204753,87.29433272,0.457038391
"29",5055,"AR","Greene",1.394611727,34447,1673,1180,16.43312102,5.958795563,18.98573693,17.90808241,41.75159236,1.584786054,6.561014263,6.178343949,70.53197848,94.04120444,25550,41116,4788,3794,1.679873217,19.00452489,15.05914107,27.73460849,9.503885236,35.63694268,11.86440678,3155,9.158997881,464,159,40.76069731,96.06973059,0.950871632
"30",5057,"AR","Hempstead",21.38084633,15169,407,266,8.389261745,2.449888641,10.24498886,17.14922049,36.68903803,0.334075724,1.893095768,9.619686801,65.35626536,97.55011136,24524,31050,2074,2498,2.449888641,18.79304096,22.63501269,26.75,9.5,45.30201342,3.007518797,898,5.919968357,107,38,44.32071269,75.83518931,3.563474388
"31",5059,"AR","Hot Spring",10.06289308,25898,907,541,14.85963214,5.273343009,26.7053701,13.54620223,33.59148112,1.790033866,5.80551524,10.16456922,59.64718853,94.72665699,25114,36520,3807,3179,4.257377842,22.39675256,18.70220026,28.99869961,12.2236671,41.38431752,2.58780037,2067,7.981311298,223,94,50.50798258,85.05079826,1.161103048
"32",5061,"AR","Howard",13.84615385,9486,355,233,9.370629371,4.335664336,37.2027972,10.20979021,59.02097902,1.818181818,4.055944056,7.552447552,65.63380282,95.66433566,24766,36736,881,1213,7.552447552,12.86694903,17.71578794,7.042253521,16.05633803,24.05594406,0,715,7.537423572,25,57,39.58041958,78.6013986,1.118881119
"33",5063,"AR","Independence",1.691815272,28761,961,603,14.05304793,4.526748971,17.42112483,17.42112483,50.90739879,0,6.675811614,9.539320614,62.7471384,95.47325103,25603,29500,3611,3796,2.469135803,17.29737498,18.18356007,37.33055266,22.94056309,25.50023267,4.809286899,2187,7.604047147,358,220,39.18609968,95.83904893,1.600365798
"34",5065,"AR","Izard",0.07751938,11138,592,422,21.89440994,7.364341085,21.86046512,13.02325581,28.26086957,0.697674419,5.658914729,12.88819876,71.28378378,92.63565891,20358,36076,1601,988,0.852713178,25.37644635,15.66016801,28.30188679,6.174957118,36.95652174,0,1290,11.58197163,165,36,39.37984496,98.68217054,0.620155039
"35",5067,"AR","Jackson",10.20134228,13500,370,199,11.40939597,6.577181208,18.79194631,13.55704698,54.22818792,0,6.979865772,7.651006711,53.78378378,93.42281879,20152,35721,1681,1597,8.724832215,20.33139816,19.31543299,22.36842105,22.69736842,26.7114094,3.015075377,745,5.518518519,68,69,41.20805369,81.0738255,0
"36",5069,"AR","Jefferson",39.56452469,53195,1999,1073,14.64257242,5.815188529,24.34944238,19.46362188,40.84507042,0.637280935,3.000531067,7.307998937,53.67683842,94.18481147,24961,33307,5809,6013,3.876792353,16.96454646,17.56030606,30.31496063,20.97862767,37.20435822,15.28424977,3766,7.079612746,539,373,38.90069039,56.55868295,1.672862454
"37",5071,"AR","Johnson",1.575299307,19477,855,628,17.58034026,10.83805923,26.96912413,20.73093888,36.98802773,2.646502836,2.520478891,4.284814115,73.4502924,89.16194077,21847,30076,2724,2442,9.262759924,19.57599713,17.54940711,19.64912281,10.64327485,41.1468179,2.547770701,1587,8.148072085,168,91,36.23188406,87.08254568,1.953371141
"38",5073,"AR","Lafayette",24.29906542,5135,163,75,4.245283019,2.336448598,8.177570094,10.04672897,43.86792453,0,2.336448598,18.16037736,46.01226994,97.6635514,23087,25903,558,773,1.869158879,16.27296588,22.54301546,44.02515723,20.12578616,33.72641509,0,428,8.334956183,70,32,54.6728972,73.8317757,5.841121495
"39",5075,"AR","Lawrence",0,12637,445,301,13.16831683,5.148514852,11.28712871,15.34653465,36.03960396,4.554455446,9.306930693,13.96039604,67.64044944,94.85148515,21939,28469,1642,1408,3.762376238,18.60412418,15.95286653,45.99542334,7.551487414,36.83168317,23.92026578,1010,7.99240326,201,33,43.76237624,92.77227723,1.584158416
"40",5077,"AR","Lee",37.60683761,7177,75,31,10.25641026,0,13.67521368,6.837606838,58.54700855,0.427350427,9.401709402,7.692307692,41.33333333,100,18528,45515,843,1088,0,20.7635468,26.79802956,36.95652174,30.43478261,23.5042735,29.03225806,234,3.260415215,17,14,28.63247863,61.96581197,0
"41",5079,"AR","Lincoln",23.15436242,10913,349,110,10.06711409,15.10067114,24.4966443,14.09395973,33.89261745,0.67114094,4.530201342,18.62416107,31.51862464,84.89932886,24733,22750,645,691,1.845637584,15.30975552,16.40161405,23.63636364,25.45454545,37.41610738,4.545454546,596,5.46137634,39,42,36.40939597,75,0
"42",5081,"AR","Little River",18.12297735,9383,258,138,5.766062603,21.03559871,24.43365696,9.385113269,39.04448105,1.45631068,6.957928803,11.53212521,53.48837209,78.96440129,27528,33542,977,682,5.663430421,14.80527353,10.33489923,34.2519685,0,43.65733114,0,618,6.586379623,87,0,42.23300971,76.21359223,1.294498382
"43",5083,"AR","Logan",0,16657,588,378,11.41226819,6.633380885,18.18830243,14.47931526,41.22681883,0.784593438,3.423680457,13.90870185,64.28571429,93.36661912,23342,35714,2471,1822,0.998573467,20.91409226,15.4210749,37.62886598,13.57388316,33.45221113,1.587301587,1402,8.416881791,219,79,42.93865906,98.2168331,0.713266762
"44",5085,"AR","Lonoke",3.89753261,53672,4381,3585,24.94031514,14.17570328,41.41128399,40.64120698,32.81871717,4.494735188,4.604746189,4.838452968,81.83063228,85.82429672,31412,51204,5601,4718,4.196133899,14.36227499,12.09805631,18.87008234,3.408051235,37.40251472,1.562064156,6363,11.85534357,825,149,23.79380795,89.45465975,0.518623291
"45",5087,"AR","Madison",0,12663,420,301,10.98901099,3.739445115,32.8106152,11.09770808,35.28693529,0,8.323281062,20.39072039,71.66666667,96.26055489,23783,38358,1564,1390,1.447527141,17.26078799,15.34047015,28.80952381,12.61904762,33.33333333,0,829,6.54663192,121,53,33.89626055,98.55247286,1.568154403
"46",5089,"AR","Marion",0,13671,774,599,13.82799325,3.035413154,25.29510961,15.79539067,32.43395166,1.742551996,3.934794829,8.768971332,77.39018088,96.96458685,20201,34213,2204,1797,1.068015739,26.87477137,21.91196196,10.98191214,7.364341085,44.96908375,9.515859766,1779,13.01294711,85,57,48.39797639,97.18943227,0
"47",5091,"AR","Miller",17.25612126,32643,1533,917,20.25811498,9.366498251,21.60901671,18.53867081,30.85647243,2.798289934,3.342401866,12.00625733,59.8173516,90.63350175,26201,34709,3928,3960,1.554605519,16.92957504,17.06749418,32.76089828,14.99339498,36.87915526,0.981461287,2573,7.882241216,496,227,28.25495531,78.39098329,0.505246794
"48",5093,"AR","Mississippi",22.82202031,30270,917,737,16.52173913,12.18599679,21.53928381,11.97220738,40.92391304,0.106894709,12.45323356,9.239130435,80.37077426,87.81400321,25386,32955,4055,4843,2.137894174,17.69583242,21.13462797,11.88340807,5.717488789,33.31521739,9.090909091,1871,6.181037331,106,51,32.76322822,75.04008552,1.122394442
"49",5095,"AR","Monroe",36.60287081,5410,232,81,10.18276762,1.913875598,19.37799043,10.52631579,42.29765013,0,9.56937799,17.23237598,34.9137931,98.0861244,21761,22061,752,670,0.23923445,21.12359551,18.82022472,30.70175439,17.54385965,30.28720627,11.11111111,418,7.726432532,70,40,38.75598086,63.15789474,6.698564593
"50",5097,"AR","Montgomery",0,6957,181,88,24.07108239,7.631160572,15.42130366,10.96979332,23.9095315,4.610492846,7.790143084,4.523424879,48.61878453,92.36883943,21986,37279,935,915,2.543720191,20.9078712,20.46064401,32.0441989,12.15469613,47.49596123,23.86363636,629,9.041253414,58,22,55.64387917,92.84578696,0.79491256
"51",5099,"AR","Nevada",17.07692308,6444,360,108,10.61538462,2.769230769,10.46153846,17.38461538,63.84615385,0,3.384615385,4.461538462,30,97.23076923,20628,17126,820,982,2.923076923,18.92453266,22.66328179,68.88888889,9.722222222,21.07692308,3.703703704,650,10.08690255,248,35,32.30769231,80,0
