"","FIPS","State","County","Poverty_Rate_ACS","Vets18OPct","PctVetsDisabilty","PctVetsPoor","UEVetsRate"
"63",5123,"AR","St. Francis",28.51788756,5.504339857,27.88732394,27.32394366,0
"64",5125,"AR","Saline",8.649645906,9.638154728,25.88832487,4.822335025,3.451407811
"65",5127,"AR","Scott",15.15151515,6.049822064,52.63157895,25.78947368,0
"66",5129,"AR","Searcy",24.12241224,9.035952911,21.875,6.25,0
"67",5131,"AR","Sebastian",17.53413139,8.447707862,29.98890122,8.257491676,4.079861111
"68",5133,"AR","Sevier",21.64883575,6.270194743,10.67615658,17.79359431,0
"69",5135,"AR","Sharp",18.02650957,12.16246045,33.73819163,15.24966262,2.183406114
"70",5137,"AR","Stone",20.94368837,10.94034378,28.92307692,4.307692308,0.543478261
"71",5139,"AR","Union",18.519566,6.778863919,27.62803235,5.25606469,19.87041037
"72",5141,"AR","Van Buren",17.5993874,9.284876905,28.40095465,5.489260143,8.527131783
"73",5143,"AR","Washington",15.31812337,6.623970025,19.9456029,9.428830462,5.625908242
"74",5145,"AR","White",15.25834047,7.980328981,32.65224359,14.66346154,3.242617255
"75",5147,"AR","Woodruff",20.82925237,6.314303006,29.92125984,11.02362205,0
"76",5149,"AR","Yell",13.81588753,6.238732938,19.93569132,12.54019293,4.782608696
